"www","/index.asp","1"
"www","-9","1"
"www","/bookstore.asp","2"
"www","/textbooks/index.asp","3"
"www","/subjects/subjects.asp","4"
"www","/bookstore/new-releases.asp","5"
"www","/bookstore/coming-soon.asp","6"
"www","/bookstore/recommended.asp","7"
"www","/subjects/audio/index.asp","8"
"www","/subjects/children/index.asp","9"
"www","/used/search.asp","10"
"www","/bargain-books/bargains.asp","11"
"www","/bestsellers/top100.asp","12"
"www","/bn-junior/index.asp","13"
"gifts","/magazines/index.asp","14"
"gifts","/toys/kids-toys.asp","15"
"gifts","/home-gift/index.asp","16"
"videogames","/index.asp","17"
"search","/boooksearch/isbninquiry.asp","18"
"music","/search/product.asp","19"
"video","/search/product.asp","20"
"search","/used/product.asp","21"
"search","/textbooks/isbninquiry.asp","22"
"videogames","/search/product.asp","23"
"gifts","/search/product.asp","24"
"search","/search/results.asp","25"
"music","/search/results.asp","26"
"video","/search/results.asp","27"
"search","/used/listingresults.asp","28"
"search","/textbooks/booksearch/results.asp","29"
"videogames","/search/results.asp","30"
"gifts","/search/results.asp","31"
"cart2","/shop%","32"
"cart2","/op2%","32"
"cart2","/account%","33"
"cart2","/mobileshop%","34"
"cart3","/shop%","32"
"cart3","/op2%","32"
"cart3","/account%","33"
"cart3","/mobileshop%","34"
"my","%","35"
"www","Any","36"
"music","Any except above for music","37"
"video","Any except above for video","38"
"gifts","Any except above for gifts","39"
"videogames","Any except above for videogames","40"
