STORE_ID,WEB_STORE_NAME,STORE_NAME,LAST_UPDATE_DT
1026,Nanuet Mall,Nanuet Mall,9/29/2011
1027,Boylston St.,Boylston St.,9/29/2011
1028,Broadway & 73rd,Broadway & 73rd,9/29/2011
1029,Bergen Mall,Bergen Mall,9/29/2011
1030,Kings Plaza,Kings Plaza,9/29/2011
1035,Park Row,Park Row,9/29/2011
1039,Linden St.,Linden St.,9/29/2011
1040,Chestnut,Chestnut,9/29/2011
1041,Crossroads,Crossroads S/P,9/29/2011
1042,BARNES & NOBLE # 1042  42          ,BARNES & NOBLE # 1042  42          ,9/29/2011
1044,Poughkeepsie Plaza,Poughkeepsie Plaza,9/29/2011
1045,Southgate SC,Southgate SC,9/29/2011
1047,Nassau St.,Nassau St.,9/29/2011
1048,Central Plaza,Central Plaza,9/29/2011
1049,Broadway & 83rd,Broadway & 83rd,9/29/2011
1050,5th Ave & 36th St,5th Ave & 36th St,9/29/2011
1051,42nd & Lex,42nd & Lex,9/29/2011
1052,18 Central SC,18 Central SC,9/29/2011
1053,Morristown,Morristown,9/29/2011
1054,Elmhurst,Elmhurst,9/29/2011
1055,Lake Success,Lake Success,9/29/2011
1056,Flushing,Flushing,9/29/2011
1057,The Grove,The Grove,9/29/2011
1058,Broadway & Maiden Ln,Broadway & Maiden Ln,9/29/2011
1059,Country Glen,Country Glen S/C,9/29/2011
1060,Crystal Plaza Arcade,Crystal Plaza Arcade,9/29/2011
1061,B DALTON BOOKSELLER #1061          ,B DALTON BOOKSELLER #1061          ,9/29/2011
1065,Oakwood Mall,Eau Claire / Oakwood Mall,9/29/2011
1066,The Parks at Arlington,The Parks at Arlington,9/29/2011
1067,Westmoreland Mall,Westmoreland Mall,9/29/2011
1068,Lakeland Square,Lakeland Square,9/29/2011
1070,Wayne Towne Center,Wayne Towne Center,9/29/2011
1071,Manhattan Mall,Manhattan Mall,9/29/2011
1072,Lake Success,Lake Success,9/29/2011
1099,BARNES & NOBLE GEN OFFICE          ,BARNES & NOBLE GEN OFFICE          ,9/29/2011
1104,B DALTON BOOKSELLER #1104          ,B DALTON BOOKSELLER #1104          ,9/29/2011
1105,B DALTON BOOKSELLER #1105          ,B DALTON BOOKSELLER #1105          ,9/29/2011
1106,DC/ Union Station,DC / Union Station,9/29/2011
1107,Rolling Oaks Pk Mall,Rolling Oaks Pk Mall,9/29/2011
1108,Westridge Mall,Westridge Mall,9/29/2011
1109,Bellis Fair Mall,Bellis Fair Mall,9/29/2011
1110,Fox Hills Mall,Fox Hills Mall,9/29/2011
1112,B DALTON BOOKSELLER #1112          ,B DALTON BOOKSELLER #1112          ,9/29/2011
1113,B DALTON BOOKSELLER #1113          ,B DALTON BOOKSELLER #1113          ,9/29/2011
1114,B DALTON BOOKSELLER #1114          ,B DALTON BOOKSELLER #1114          ,9/29/2011
1115,New Orleans Center,New Orleans Center,9/29/2011
1116,Fashion Mall,Fashion Mall,9/29/2011
1118,B DALTON BOOKSELLER #1118          ,B DALTON BOOKSELLER #1118          ,9/29/2011
1119,Boise Town Centre,Boise Town Centre,9/29/2011
1120,B DALTON BOOKSELLER #1120          ,B DALTON BOOKSELLER #1120          ,9/29/2011
1121,Walden Galleria,Walden Galleria,9/29/2011
1122,Port Charlotte Twn Ct,Port Charlotte Twn Ct,9/29/2011
1123,Columbus City Center,Columbus City Center,9/29/2011
1124,B DALTON BOOKSELLER #1124          ,B DALTON BOOKSELLER #1124          ,9/29/2011
1125,Eastwood Mall,Eastwood Mall,9/29/2011
1126,Colonial Park Mall,Colonial Park Mall,9/29/2011
1127,DC/K Street,DC/K Street,9/29/2011
1128,B DALTON BOOKSELLER 1128           ,B DALTON BOOKSELLER 1128           ,9/29/2011
1129,Battlefield Mall,Battlefield Mall,9/29/2011
1130,Chesapeake Square,Chesapeake Square,9/29/2011
1131,Biltmore Square Mall,Biltmore Square Mall,9/29/2011
1132,York Galleria,York Galleria,9/29/2011
1133,Aiken Mall,Aiken Mall,9/29/2011
1134,Yuba City Mall,Yuba City Mall,9/29/2011
1135,The Centre At Salisbury,The Centre At Salisbury,9/29/2011
1136,Freehold Raceway Mall,Freehold Raceway Mall,9/29/2011
1137,Irondequoit Mall,Irondequoit Mall,9/29/2011
1138,B DALTON BOOKSELLER #1138          ,B DALTON BOOKSELLER #1138          ,9/29/2011
1139,B DALTON BOOKSELLER #1139          ,B DALTON BOOKSELLER #1139          ,9/29/2011
1140,Parkway Plaza,Parkway Plaza,9/29/2011
1141,Midway Mall,Midway Mall,9/29/2011
1142,Antelope Valley Mall,Antelope Valley Mall,9/29/2011
1143,Southpark Mall,Moline / Southpark Mall,9/29/2011
1144,Southport Centr,Southport Centr,9/29/2011
1145,Foothills Fashion Mall,Foothills Fashion Mall,9/29/2011
1146,Red Cliffs Mall,Red Cliffs Mall,9/29/2011
1147,Cambridgeside Galleria,Cambridgeside Galleria,9/29/2011
1148,Superstition Springs Ctr,Superstition Springs Ctr,9/29/2011
1149,Prince Georges Plaza,Prince Georges Plaza,9/29/2011
1150,Mid Rivers Mall,Mid Rivers Mall,9/29/2011
1151,Birchwood Mall,Birchwood Mall,9/29/2011
1152,B DALTON BOOKSELLER #1152          ,B DALTON BOOKSELLER #1152          ,9/29/2011
1153,B DALTON BOOKSELLER #1153          ,B DALTON BOOKSELLER #1153          ,9/29/2011
1154,Chevy Chase Pavillion,Chevy Chase Pavillion,9/29/2011
1155,Coco Walk,Coco Walk,9/29/2011
1156,Mall Of Victor Valley,Mall Of Victor Valley,9/29/2011
1157,Liberty Tree Mall,Liberty Tree Mall,9/29/2011
1158,Northpark Center,Northpark Center,9/29/2011
1159,The Merchandise Mart,The Merchandise Mart,9/29/2011
1160,Menlo Park,Menlo Park,9/29/2011
1161,Grand Traverse Mall,Grand Traverse Mall,9/29/2011
1162,Bay City Mall,Bay City Mall,9/29/2011
1163,B DALTON BOOKSELLER #1163          ,B DALTON BOOKSELLER #1163          ,9/29/2011
1164,Gateway Mall,Springfield / Gateway Mall,9/29/2011
1165,Montgomery Mall,Montgomery Mall,9/29/2011
1167,Greenwich Village,Greenwich Village,9/29/2011
1168,Church Street Market,Church Street Market,9/29/2011
1170,Plaza Bonita Mall,Plaza Bonita Mall,9/29/2011
1173,Mall Of America,Mall Of America,9/29/2011
1174,Aroostook Center,Aroostook Center,9/29/2011
1175,Valencia Town Center,Valencia Town Center,9/29/2011
1176,Moreno Valley Mall,Moreno Valley Mall,9/29/2011
1177,Kings Plaza,Kings Plaza,9/29/2011
1179,Oglethorpe Mall,Oglethorpe Mall,9/29/2011
1180,Downtown Winter Park,Downtown Winter Park,9/29/2011
1181,St. Charles / Charlestowne Mall,St. Charles / Charlestowne Mall,9/29/2011
1182,B DALTON                           ,B DALTON                           ,9/29/2011
1183,Grand Teton Mall,Grand Teton Mall,9/29/2011
1184,Johnstown Galleria,Johnstown Galleria,9/29/2011
1185,BD / Meriden Square Mall,BD / Meriden Square Mall,9/29/2011
1186,Hanford Mall,Hanford Mall,9/29/2011
1187,Brandon Town Center,Brandon Town Center,9/29/2011
1188,The Mall At Steamtown,The Mall At Steamtown,9/29/2011
1189,South Dekalb Mall,South Dekalb Mall,9/29/2011
1190,B DALTON 1190                      ,B DALTON 1190                      ,9/29/2011
