TimeStamp|StoreNumber|RegisterNumber|TransactionNumber|CustomerType|CustomerNumber|EmailAddress|RecommendedEans
2011-08-08 16:32:46.1309|2347|13|1558|Unknown|0000000000||
2011-08-08 16:32:46.2715|2274|2|3476|Educator|7007085855||9781593591878,9780307406446,9781586994860
2011-08-08 16:32:46.3184|2783|6|6399|Unknown|9006518962||9781423108559,9781423121343,9780810984301,9780060892135,9780316014458
2011-08-08 16:32:46.5215|2281|7|1334|Unknown|0000000000||9781616813819,9781616813802,9781616837198,9781616837358
2011-08-08 16:32:49.3810|2217|3|7380|Unknown|0000000000||
2011-08-08 16:32:49.4435|2142|3|4554|Unknown|0000000000||
2011-08-08 16:32:49.5216|1977|7|817|Member|5119720337||9781575250663,9781575254005,9781575254012,9781575253978,9781575253961
2011-08-08 16:32:49.7872|2657|10|2840|Member|5075753000||
2011-08-08 16:32:49.9122|2588|7|1157|Member|5217144057||9780547237787,9780312603601,9780425234372,9781439102398,9780061702563
2011-08-08 16:32:50.9279|2810|6|9582|Member|5019557781||
2011-08-08 16:32:51.1623|1979|8|5709|Unknown|0000000000||9780553383249,9780312427375,9781402218057
2011-08-08 16:32:51.9123|2137|9|4303|Unknown|0000000000||812370010523,812370010530,9781400662661
2011-08-08 16:32:52.1779|2015|3|4187|Member|5188733876||9780316277372,9780786888009,9780061120626,9780743249003,9780399153167
2011-08-08 16:32:53.0373|2046|6|9038|Unknown|0000000000||9780316045520,9780316113694,9780316113687,9780316040860,9780763644109
2011-08-08 16:32:53.1467|2692|6|3660|Unknown|0000000000||9780764207945,9780800759490,9780425226469,9781591858829,9780800734404
2011-08-08 16:32:53.3967|2876|6|6369|Member|5091129221||9780470538067,9780764554339
2011-08-08 16:32:53.6467|2803|2|5247|Unknown|0000000000||
2011-08-08 16:32:53.6936|2943|9|2964|Unknown|0000000000||
2011-08-08 16:32:54.0217|2080|1|8658|Unknown|0000000000||9781615600632,9781935009078
2011-08-08 16:32:54.2873|2758|5|6316|Member|5067876987||9781573226066,9780641872204,9781416562603,9781616805234,9780641993619
2011-08-08 16:32:54.3811|2750|11|4995|Member|5186353490||
2011-08-08 16:32:54.5998|2180|10|4094|Unknown|0000000000||
2011-08-08 16:32:55.0217|2604|5|8296|Unknown|0000000000||
2011-08-08 16:32:55.7092|2247|1|6732|Unknown|0000000000||9780553213553,9780743262170,9780143035008,9780060850524,9781411426979
2011-08-08 16:32:56.2874|1990|4|7086|Unknown|0000000000||9780553278224,9780152063207,9780380729401,9780698113770,9780440479000
2011-08-08 16:32:56.3655|2100|7|3285|Unknown|0000000000||43396281240,97361385648,786936772340,85391163220,25195039918
2011-08-08 16:32:56.8186|2726|4|9978|Member|5167456097||9780375826726,9780375826702,9781416975885,9780385735339,9780061974557
2011-08-08 16:32:57.0217|2871|7|6724|Unknown|0000000000||
2011-08-08 16:32:57.0843|2778|1|2074|Unknown|0000000000||9780758259387,9780670022120,9781416595182,9781433669248,9781439164631
2011-08-08 16:32:57.2718|2709|15|348|Unknown|0000000000||
2011-08-08 16:32:57.3499|2265|9|6187|Unknown|0000000000||
2011-08-08 16:32:57.5999|2850|11|6033|Unknown|0000000000||
